"SampleID"	"Haplogroup"	"Rank"	"Quality"	"Range"
"L3"	"L3*"	"1"	"0.9211"	"9025 10909 10410 9997 8896 9078 10915 10438 10007 10978 10463 10031 9221 10927 10454 10010 11002 10667 10034 9449 10086 9554 11020 10688 10070 9477 10098 9605 11025 10700 11152 10792 10115 9752 11101 10775 11164 10793 10127 9753 8541 7476 12049 11177 10810 10321 9804 8551 7526 12123 11204 10816 10345 9818 8650 7673 12147 11290 10819 10370 9855 8684 7674 12172 11302 10828 10373 9903 8817 7819 12183 11440 10873 10398 9966 8877 7867 12207 11696 2283 1438 951 8027 12248 11812 2332 1442 955 8206 12258 11914 2352 1503 961 8222 12266 11928 2358 1664 990 8387 12297 11944 2581 1700 1005 8410 12308 11969 2706 1706 1007 8414 12315 11984 2746 1710 1018 8417 12320 12007 2758 1717 1040 8468 12354 12019 2768 1719 1048 8527 12372 12028 2772 1811 1243 12397 15218 2789 1822 1310 12454 15226 2831 1842 1382 12519 15229 2885 2056 1393 12542 15236 3010 2163 1406 12579 15244 3116 2259 1413 12612 15257 3197 14059 13789 13167 12618 15301 3200 14130 13813 13182 12678 15314 3206 14148 13880 13197 12693 15323 3308 14152 13886 13276 12696 15326 3316 14178 13914 13329 12720 15381 3338 14203 13924 13470 12781 15391 3394 14260 13928 13485 12891 15402 3396 14284 13933 13500 12937 15412 3398 14318 13934 13506 12940 15421 3434 14323 13942 13590 12948 217 15431 3450 14502 13958 13651 12976 228 15452 3495 14527 13966 13665 13015 239 15479 3497 14584 13980 13749 13105 285 15637 3505 14709 14000 13764 13135 316 15662 3516 14769 14053 13780 13149 325 15672 3547 14783 6480 5460 16390 357 15693 3571 14798 6500 5471 16429 489 15758 3606 14927 6527 5581 16465 508 15777 3736 15038 6548 5601 517 15790 3745 15077 6663 5603 606 15812 3746 15119 6680 5814 622 15824 3866 15136 6713 5843 629 15860 3915 15204 6917 6179 647 15889 4092 15211 6982 6185 678 15894 4093 15217 7256 6253 680 15904 4123 731 15907 4284 6267 710 15905 4129 789 15924 4295 6297 4317 6383 794 15940 4312 6308 4336 6473 921 15942 16075 4733 15978 4363 4909 16051 4732 15946 16078 4767 16017 4722 4917 5111 16102 5046 16080 16253 5082 16092 5036 5331 16174 5054 16081 16274 16381 5393 16352"
"L3a1"	"L3"	"1"	"1.0000"	"9025 10909 10410 9997 8896 9078 10915 10438 10007 10978 10463 10031 9221 10927 10454 10010 11002 10667 10034 9449 10086 9554 11020 10688 10070 9477 10098 9605 11025 10700 11152 10792 10115 9752 11101 10775 11164 10793 10127 9753 8541 7476 12049 11177 10810 10321 9804 8551 7526 12123 11204 10816 10345 9818 8650 7673 12147 11290 10819 10370 9855 8684 7674 12172 11302 10828 10373 9903 8817 7819 12183 11440 10873 10398 9966 8877 7867 12207 11696 2283 1438 951 8027 12248 11812 2332 1442 955 8206 12258 11914 2352 1503 961 8222 12266 11928 2358 1664 990 8387 12297 11944 2581 1700 1005 8410 12308 11969 2706 1706 1007 8414 12315 11984 2746 1710 1018 8417 12320 12007 2758 1717 1040 8468 12354 12019 2768 1719 1048 8527 12372 12028 2772 1811 1243 12397 15218 2789 1822 1310 12454 15226 2831 1842 1382 12519 15229 2885 2056 1393 12542 15236 3010 2163 1406 12579 15244 3116 2259 1413 12612 15257 3197 14059 13789 13167 12618 15301 3200 14130 13813 13182 12678 15314 3206 14148 13880 13197 12693 15323 3308 14152 13886 13276 12696 15326 3316 14178 13914 13329 12720 15381 3338 14203 13924 13470 12781 15391 3394 14260 13928 13485 12891 15402 3396 14284 13933 13500 12937 15412 3398 14318 13934 13506 12940 15421 3434 14323 13942 13590 12948 217 15431 3450 14502 13958 13651 12976 228 15452 3495 14527 13966 13665 13015 239 15479 3497 14584 13980 13749 13105 285 15637 3505 14709 14000 13764 13135 316 15662 3516 14769 14053 13780 13149 325 15672 3547 14783 6480 5460 16390 357 15693 3571 14798 6500 5471 16429 489 15758 3606 14927 6527 5581 16465 508 15777 3736 15038 6548 5601 517 15790 3745 15077 6663 5603 606 15812 3746 15119 6680 5814 622 15824 3866 15136 6713 5843 629 15860 3915 15204 6917 6179 647 15889 4092 15211 6982 6185 678 15894 4093 15217 7256 6253 680 15904 4123 731 15907 4284 6267 710 15905 4129 789 15924 4295 6297 4317 6383 794 15940 4312 6308 4336 6473 921 15942 16075 4733 15978 4363 4909 16051 4732 15946 16078 4767 16017 4722 4917 5111 16102 5046 16080 16253 5082 16092 5036 5331 16174 5054 16081 16274 16381 5393 16352"
"L3a1a"	"L3"	"1"	"0.8716"	"9025 10909 10410 9997 8896 9078 10915 10438 10007 10978 10463 10031 9221 10927 10454 10010 11002 10667 10034 9449 10086 9554 11020 10688 10070 9477 10098 9605 11025 10700 11152 10792 10115 9752 11101 10775 11164 10793 10127 9753 8541 7476 12049 11177 10810 10321 9804 8551 7526 12123 11204 10816 10345 9818 8650 7673 12147 11290 10819 10370 9855 8684 7674 12172 11302 10828 10373 9903 8817 7819 12183 11440 10873 10398 9966 8877 7867 12207 11696 2283 1438 951 8027 12248 11812 2332 1442 955 8206 12258 11914 2352 1503 961 8222 12266 11928 2358 1664 990 8387 12297 11944 2581 1700 1005 8410 12308 11969 2706 1706 1007 8414 12315 11984 2746 1710 1018 8417 12320 12007 2758 1717 1040 8468 12354 12019 2768 1719 1048 8527 12372 12028 2772 1811 1243 12397 15218 2789 1822 1310 12454 15226 2831 1842 1382 12519 15229 2885 2056 1393 12542 15236 3010 2163 1406 12579 15244 3116 2259 1413 12612 15257 3197 14059 13789 13167 12618 15301 3200 14130 13813 13182 12678 15314 3206 14148 13880 13197 12693 15323 3308 14152 13886 13276 12696 15326 3316 14178 13914 13329 12720 15381 3338 14203 13924 13470 12781 15391 3394 14260 13928 13485 12891 15402 3396 14284 13933 13500 12937 15412 3398 14318 13934 13506 12940 15421 3434 14323 13942 13590 12948 217 15431 3450 14502 13958 13651 12976 228 15452 3495 14527 13966 13665 13015 239 15479 3497 14584 13980 13749 13105 285 15637 3505 14709 14000 13764 13135 316 15662 3516 14769 14053 13780 13149 325 15672 3547 14783 6480 5460 16390 357 15693 3571 14798 6500 5471 16429 489 15758 3606 14927 6527 5581 16465 508 15777 3736 15038 6548 5601 517 15790 3745 15077 6663 5603 606 15812 3746 15119 6680 5814 622 15824 3866 15136 6713 5843 629 15860 3915 15204 6917 6179 647 15889 4092 15211 6982 6185 678 15894 4093 15217 7256 6253 680 15904 4123 731 15907 4284 6267 710 15905 4129 789 15924 4295 6297 4317 6383 794 15940 4312 6308 4336 6473 921 15942 16075 4733 15978 4363 4909 16051 4732 15946 16078 4767 16017 4722 4917 5111 16102 5046 16080 16253 5082 16092 5036 5331 16174 5054 16081 16274 16381 5393 16352"
"L3a1b"	"L3a1b"	"1"	"1.0000"	"9025 10909 10410 9997 8896 9078 10915 10438 10007 10978 10463 10031 9221 10927 10454 10010 11002 10667 10034 9449 10086 9554 11020 10688 10070 9477 10098 9605 11025 10700 11152 10792 10115 9752 11101 10775 11164 10793 10127 9753 8541 7476 12049 11177 10810 10321 9804 8551 7526 12123 11204 10816 10345 9818 8650 7673 12147 11290 10819 10370 9855 8684 7674 12172 11302 10828 10373 9903 8817 7819 12183 11440 10873 10398 9966 8877 7867 12207 11696 2283 1438 951 8027 12248 11812 2332 1442 955 8206 12258 11914 2352 1503 961 8222 12266 11928 2358 1664 990 8387 12297 11944 2581 1700 1005 8410 12308 11969 2706 1706 1007 8414 12315 11984 2746 1710 1018 8417 12320 12007 2758 1717 1040 8468 12354 12019 2768 1719 1048 8527 12372 12028 2772 1811 1243 12397 15218 2789 1822 1310 12454 15226 2831 1842 1382 12519 15229 2885 2056 1393 12542 15236 3010 2163 1406 12579 15244 3116 2259 1413 12612 15257 3197 14059 13789 13167 12618 15301 3200 14130 13813 13182 12678 15314 3206 14148 13880 13197 12693 15323 3308 14152 13886 13276 12696 15326 3316 14178 13914 13329 12720 15381 3338 14203 13924 13470 12781 15391 3394 14260 13928 13485 12891 15402 3396 14284 13933 13500 12937 15412 3398 14318 13934 13506 12940 15421 3434 14323 13942 13590 12948 217 15431 3450 14502 13958 13651 12976 228 15452 3495 14527 13966 13665 13015 239 15479 3497 14584 13980 13749 13105 285 15637 3505 14709 14000 13764 13135 316 15662 3516 14769 14053 13780 13149 325 15672 3547 14783 6480 5460 16390 357 15693 3571 14798 6500 5471 16429 489 15758 3606 14927 6527 5581 16465 508 15777 3736 15038 6548 5601 517 15790 3745 15077 6663 5603 606 15812 3746 15119 6680 5814 622 15824 3866 15136 6713 5843 629 15860 3915 15204 6917 6179 647 15889 4092 15211 6982 6185 678 15894 4093 15217 7256 6253 680 15904 4123 731 15907 4284 6267 710 15905 4129 789 15924 4295 6297 4317 6383 794 15940 4312 6308 4336 6473 921 15942 16075 4733 15978 4363 4909 16051 4732 15946 16078 4767 16017 4722 4917 5111 16102 5046 16080 16253 5082 16092 5036 5331 16174 5054 16081 16274 16381 5393 16352"
"L3a2"	"L3"	"1"	"1.0000"	"9025 10909 10410 9997 8896 9078 10915 10438 10007 10978 10463 10031 9221 10927 10454 10010 11002 10667 10034 9449 10086 9554 11020 10688 10070 9477 10098 9605 11025 10700 11152 10792 10115 9752 11101 10775 11164 10793 10127 9753 8541 7476 12049 11177 10810 10321 9804 8551 7526 12123 11204 10816 10345 9818 8650 7673 12147 11290 10819 10370 9855 8684 7674 12172 11302 10828 10373 9903 8817 7819 12183 11440 10873 10398 9966 8877 7867 12207 11696 2283 1438 951 8027 12248 11812 2332 1442 955 8206 12258 11914 2352 1503 961 8222 12266 11928 2358 1664 990 8387 12297 11944 2581 1700 1005 8410 12308 11969 2706 1706 1007 8414 12315 11984 2746 1710 1018 8417 12320 12007 2758 1717 1040 8468 12354 12019 2768 1719 1048 8527 12372 12028 2772 1811 1243 12397 15218 2789 1822 1310 12454 15226 2831 1842 1382 12519 15229 2885 2056 1393 12542 15236 3010 2163 1406 12579 15244 3116 2259 1413 12612 15257 3197 14059 13789 13167 12618 15301 3200 14130 13813 13182 12678 15314 3206 14148 13880 13197 12693 15323 3308 14152 13886 13276 12696 15326 3316 14178 13914 13329 12720 15381 3338 14203 13924 13470 12781 15391 3394 14260 13928 13485 12891 15402 3396 14284 13933 13500 12937 15412 3398 14318 13934 13506 12940 15421 3434 14323 13942 13590 12948 217 15431 3450 14502 13958 13651 12976 228 15452 3495 14527 13966 13665 13015 239 15479 3497 14584 13980 13749 13105 285 15637 3505 14709 14000 13764 13135 316 15662 3516 14769 14053 13780 13149 325 15672 3547 14783 6480 5460 16390 357 15693 3571 14798 6500 5471 16429 489 15758 3606 14927 6527 5581 16465 508 15777 3736 15038 6548 5601 517 15790 3745 15077 6663 5603 606 15812 3746 15119 6680 5814 622 15824 3866 15136 6713 5843 629 15860 3915 15204 6917 6179 647 15889 4092 15211 6982 6185 678 15894 4093 15217 7256 6253 680 15904 4123 731 15907 4284 6267 710 15905 4129 789 15924 4295 6297 4317 6383 794 15940 4312 6308 4336 6473 921 15942 16075 4733 15978 4363 4909 16051 4732 15946 16078 4767 16017 4722 4917 5111 16102 5046 16080 16253 5082 16092 5036 5331 16174 5054 16081 16274 16381 5393 16352"
"L3a2a"	"L3"	"1"	"1.0000"	"9025 10909 10410 9997 8896 9078 10915 10438 10007 10978 10463 10031 9221 10927 10454 10010 11002 10667 10034 9449 10086 9554 11020 10688 10070 9477 10098 9605 11025 10700 11152 10792 10115 9752 11101 10775 11164 10793 10127 9753 8541 7476 12049 11177 10810 10321 9804 8551 7526 12123 11204 10816 10345 9818 8650 7673 12147 11290 10819 10370 9855 8684 7674 12172 11302 10828 10373 9903 8817 7819 12183 11440 10873 10398 9966 8877 7867 12207 11696 2283 1438 951 8027 12248 11812 2332 1442 955 8206 12258 11914 2352 1503 961 8222 12266 11928 2358 1664 990 8387 12297 11944 2581 1700 1005 8410 12308 11969 2706 1706 1007 8414 12315 11984 2746 1710 1018 8417 12320 12007 2758 1717 1040 8468 12354 12019 2768 1719 1048 8527 12372 12028 2772 1811 1243 12397 15218 2789 1822 1310 12454 15226 2831 1842 1382 12519 15229 2885 2056 1393 12542 15236 3010 2163 1406 12579 15244 3116 2259 1413 12612 15257 3197 14059 13789 13167 12618 15301 3200 14130 13813 13182 12678 15314 3206 14148 13880 13197 12693 15323 3308 14152 13886 13276 12696 15326 3316 14178 13914 13329 12720 15381 3338 14203 13924 13470 12781 15391 3394 14260 13928 13485 12891 15402 3396 14284 13933 13500 12937 15412 3398 14318 13934 13506 12940 15421 3434 14323 13942 13590 12948 217 15431 3450 14502 13958 13651 12976 228 15452 3495 14527 13966 13665 13015 239 15479 3497 14584 13980 13749 13105 285 15637 3505 14709 14000 13764 13135 316 15662 3516 14769 14053 13780 13149 325 15672 3547 14783 6480 5460 16390 357 15693 3571 14798 6500 5471 16429 489 15758 3606 14927 6527 5581 16465 508 15777 3736 15038 6548 5601 517 15790 3745 15077 6663 5603 606 15812 3746 15119 6680 5814 622 15824 3866 15136 6713 5843 629 15860 3915 15204 6917 6179 647 15889 4092 15211 6982 6185 678 15894 4093 15217 7256 6253 680 15904 4123 731 15907 4284 6267 710 15905 4129 789 15924 4295 6297 4317 6383 794 15940 4312 6308 4336 6473 921 15942 16075 4733 15978 4363 4909 16051 4732 15946 16078 4767 16017 4722 4917 5111 16102 5046 16080 16253 5082 16092 5036 5331 16174 5054 16081 16274 16381 5393 16352"
"L3b1a7a"	"L3b1a7a"	"1"	"1.0000"	"9025 10909 10410 9997 8896 9078 10915 10438 10007 10978 10463 10031 9221 10927 10454 10010 11002 10667 10034 9449 10086 9554 11020 10688 10070 9477 10098 9605 11025 10700 11152 10792 10115 9752 11101 10775 11164 10793 10127 9753 8541 7476 12049 11177 10810 10321 9804 8551 7526 12123 11204 10816 10345 9818 8650 7673 12147 11290 10819 10370 9855 8684 7674 12172 11302 10828 10373 9903 8817 7819 12183 11440 10873 10398 9966 8877 7867 12207 11696 2283 1438 951 8027 12248 11812 2332 1442 955 8206 12258 11914 2352 1503 961 8222 12266 11928 2358 1664 990 8387 12297 11944 2581 1700 1005 8410 12308 11969 2706 1706 1007 8414 12315 11984 2746 1710 1018 8417 12320 12007 2758 1717 1040 8468 12354 12019 2768 1719 1048 8527 12372 12028 2772 1811 1243 12397 15218 2789 1822 1310 12454 15226 2831 1842 1382 12519 15229 2885 2056 1393 12542 15236 3010 2163 1406 12579 15244 3116 2259 1413 12612 15257 3197 14059 13789 13167 12618 15301 3200 14130 13813 13182 12678 15314 3206 14148 13880 13197 12693 15323 3308 14152 13886 13276 12696 15326 3316 14178 13914 13329 12720 15381 3338 14203 13924 13470 12781 15391 3394 14260 13928 13485 12891 15402 3396 14284 13933 13500 12937 15412 3398 14318 13934 13506 12940 15421 3434 14323 13942 13590 12948 217 15431 3450 14502 13958 13651 12976 228 15452 3495 14527 13966 13665 13015 239 15479 3497 14584 13980 13749 13105 285 15637 3505 14709 14000 13764 13135 316 15662 3516 14769 14053 13780 13149 325 15672 3547 14783 6480 5460 16390 357 15693 3571 14798 6500 5471 16429 489 15758 3606 14927 6527 5581 16465 508 15777 3736 15038 6548 5601 517 15790 3745 15077 6663 5603 606 15812 3746 15119 6680 5814 622 15824 3866 15136 6713 5843 629 15860 3915 15204 6917 6179 647 15889 4092 15211 6982 6185 678 15894 4093 15217 7256 6253 680 15904 4123 731 15907 4284 6267 710 15905 4129 789 15924 4295 6297 4317 6383 794 15940 4312 6308 4336 6473 921 15942 16075 4733 15978 4363 4909 16051 4732 15946 16078 4767 16017 4722 4917 5111 16102 5046 16080 16253 5082 16092 5036 5331 16174 5054 16081 16274 16381 5393 16352"
"L3b1b"	"L3b1"	"1"	"1.0000"	"9025 10909 10410 9997 8896 9078 10915 10438 10007 10978 10463 10031 9221 10927 10454 10010 11002 10667 10034 9449 10086 9554 11020 10688 10070 9477 10098 9605 11025 10700 11152 10792 10115 9752 11101 10775 11164 10793 10127 9753 8541 7476 12049 11177 10810 10321 9804 8551 7526 12123 11204 10816 10345 9818 8650 7673 12147 11290 10819 10370 9855 8684 7674 12172 11302 10828 10373 9903 8817 7819 12183 11440 10873 10398 9966 8877 7867 12207 11696 2283 1438 951 8027 12248 11812 2332 1442 955 8206 12258 11914 2352 1503 961 8222 12266 11928 2358 1664 990 8387 12297 11944 2581 1700 1005 8410 12308 11969 2706 1706 1007 8414 12315 11984 2746 1710 1018 8417 12320 12007 2758 1717 1040 8468 12354 12019 2768 1719 1048 8527 12372 12028 2772 1811 1243 12397 15218 2789 1822 1310 12454 15226 2831 1842 1382 12519 15229 2885 2056 1393 12542 15236 3010 2163 1406 12579 15244 3116 2259 1413 12612 15257 3197 14059 13789 13167 12618 15301 3200 14130 13813 13182 12678 15314 3206 14148 13880 13197 12693 15323 3308 14152 13886 13276 12696 15326 3316 14178 13914 13329 12720 15381 3338 14203 13924 13470 12781 15391 3394 14260 13928 13485 12891 15402 3396 14284 13933 13500 12937 15412 3398 14318 13934 13506 12940 15421 3434 14323 13942 13590 12948 217 15431 3450 14502 13958 13651 12976 228 15452 3495 14527 13966 13665 13015 239 15479 3497 14584 13980 13749 13105 285 15637 3505 14709 14000 13764 13135 316 15662 3516 14769 14053 13780 13149 325 15672 3547 14783 6480 5460 16390 357 15693 3571 14798 6500 5471 16429 489 15758 3606 14927 6527 5581 16465 508 15777 3736 15038 6548 5601 517 15790 3745 15077 6663 5603 606 15812 3746 15119 6680 5814 622 15824 3866 15136 6713 5843 629 15860 3915 15204 6917 6179 647 15889 4092 15211 6982 6185 678 15894 4093 15217 7256 6253 680 15904 4123 731 15907 4284 6267 710 15905 4129 789 15924 4295 6297 4317 6383 794 15940 4312 6308 4336 6473 921 15942 16075 4733 15978 4363 4909 16051 4732 15946 16078 4767 16017 4722 4917 5111 16102 5046 16080 16253 5082 16092 5036 5331 16174 5054 16081 16274 16381 5393 16352"
"L3b2a"	"L3b"	"1"	"1.0000"	"9025 10909 10410 9997 8896 9078 10915 10438 10007 10978 10463 10031 9221 10927 10454 10010 11002 10667 10034 9449 10086 9554 11020 10688 10070 9477 10098 9605 11025 10700 11152 10792 10115 9752 11101 10775 11164 10793 10127 9753 8541 7476 12049 11177 10810 10321 9804 8551 7526 12123 11204 10816 10345 9818 8650 7673 12147 11290 10819 10370 9855 8684 7674 12172 11302 10828 10373 9903 8817 7819 12183 11440 10873 10398 9966 8877 7867 12207 11696 2283 1438 951 8027 12248 11812 2332 1442 955 8206 12258 11914 2352 1503 961 8222 12266 11928 2358 1664 990 8387 12297 11944 2581 1700 1005 8410 12308 11969 2706 1706 1007 8414 12315 11984 2746 1710 1018 8417 12320 12007 2758 1717 1040 8468 12354 12019 2768 1719 1048 8527 12372 12028 2772 1811 1243 12397 15218 2789 1822 1310 12454 15226 2831 1842 1382 12519 15229 2885 2056 1393 12542 15236 3010 2163 1406 12579 15244 3116 2259 1413 12612 15257 3197 14059 13789 13167 12618 15301 3200 14130 13813 13182 12678 15314 3206 14148 13880 13197 12693 15323 3308 14152 13886 13276 12696 15326 3316 14178 13914 13329 12720 15381 3338 14203 13924 13470 12781 15391 3394 14260 13928 13485 12891 15402 3396 14284 13933 13500 12937 15412 3398 14318 13934 13506 12940 15421 3434 14323 13942 13590 12948 217 15431 3450 14502 13958 13651 12976 228 15452 3495 14527 13966 13665 13015 239 15479 3497 14584 13980 13749 13105 285 15637 3505 14709 14000 13764 13135 316 15662 3516 14769 14053 13780 13149 325 15672 3547 14783 6480 5460 16390 357 15693 3571 14798 6500 5471 16429 489 15758 3606 14927 6527 5581 16465 508 15777 3736 15038 6548 5601 517 15790 3745 15077 6663 5603 606 15812 3746 15119 6680 5814 622 15824 3866 15136 6713 5843 629 15860 3915 15204 6917 6179 647 15889 4092 15211 6982 6185 678 15894 4093 15217 7256 6253 680 15904 4123 731 15907 4284 6267 710 15905 4129 789 15924 4295 6297 4317 6383 794 15940 4312 6308 4336 6473 921 15942 16075 4733 15978 4363 4909 16051 4732 15946 16078 4767 16017 4722 4917 5111 16102 5046 16080 16253 5082 16092 5036 5331 16174 5054 16081 16274 16381 5393 16352"
"L3c"	"L3c"	"1"	"1.0000"	"9025 10909 10410 9997 8896 9078 10915 10438 10007 10978 10463 10031 9221 10927 10454 10010 11002 10667 10034 9449 10086 9554 11020 10688 10070 9477 10098 9605 11025 10700 11152 10792 10115 9752 11101 10775 11164 10793 10127 9753 8541 7476 12049 11177 10810 10321 9804 8551 7526 12123 11204 10816 10345 9818 8650 7673 12147 11290 10819 10370 9855 8684 7674 12172 11302 10828 10373 9903 8817 7819 12183 11440 10873 10398 9966 8877 7867 12207 11696 2283 1438 951 8027 12248 11812 2332 1442 955 8206 12258 11914 2352 1503 961 8222 12266 11928 2358 1664 990 8387 12297 11944 2581 1700 1005 8410 12308 11969 2706 1706 1007 8414 12315 11984 2746 1710 1018 8417 12320 12007 2758 1717 1040 8468 12354 12019 2768 1719 1048 8527 12372 12028 2772 1811 1243 12397 15218 2789 1822 1310 12454 15226 2831 1842 1382 12519 15229 2885 2056 1393 12542 15236 3010 2163 1406 12579 15244 3116 2259 1413 12612 15257 3197 14059 13789 13167 12618 15301 3200 14130 13813 13182 12678 15314 3206 14148 13880 13197 12693 15323 3308 14152 13886 13276 12696 15326 3316 14178 13914 13329 12720 15381 3338 14203 13924 13470 12781 15391 3394 14260 13928 13485 12891 15402 3396 14284 13933 13500 12937 15412 3398 14318 13934 13506 12940 15421 3434 14323 13942 13590 12948 217 15431 3450 14502 13958 13651 12976 228 15452 3495 14527 13966 13665 13015 239 15479 3497 14584 13980 13749 13105 285 15637 3505 14709 14000 13764 13135 316 15662 3516 14769 14053 13780 13149 325 15672 3547 14783 6480 5460 16390 357 15693 3571 14798 6500 5471 16429 489 15758 3606 14927 6527 5581 16465 508 15777 3736 15038 6548 5601 517 15790 3745 15077 6663 5603 606 15812 3746 15119 6680 5814 622 15824 3866 15136 6713 5843 629 15860 3915 15204 6917 6179 647 15889 4092 15211 6982 6185 678 15894 4093 15217 7256 6253 680 15904 4123 731 15907 4284 6267 710 15905 4129 789 15924 4295 6297 4317 6383 794 15940 4312 6308 4336 6473 921 15942 16075 4733 15978 4363 4909 16051 4732 15946 16078 4767 16017 4722 4917 5111 16102 5046 16080 16253 5082 16092 5036 5331 16174 5054 16081 16274 16381 5393 16352"
